strategy,ticker,buy_date,pnl_pct,runup_pct,bucket
A,8210,2025-05-12,8.84,57.75401078471817,3.50~100%
A,6213,2025-05-26,-3.94,85.4621094522299,3.50~100%
A,3131,2025-05-26,18.04,58.940394584556834,3.50~100%
A,2368,2025-06-09,-0.24,95.43861019072003,3.50~100%
A,3324,2025-06-16,-7.81,76.93983515719988,3.50~100%
A,8210,2025-06-16,19.23,125.13368724317316,4.>100%
A,6274,2025-06-09,8.98,87.62714947688856,3.50~100%
A,6223,2025-06-30,14.8,92.07318085081975,3.50~100%
A,3661,2025-06-30,15.62,59.12595394505094,3.50~100%
A,6196,2025-06-30,14.89,47.656247246898424,2.10~50%
A,2059,2025-07-21,16.3,44.50866855780862,2.10~50%
A,8046,2025-07-28,-9.22,93.28424519762505,3.50~100%
A,4958,2025-08-11,19.42,48.14579025831859,2.10~50%
A,6274,2025-08-18,-7.87,119.87382502090975,4.>100%
A,8996,2025-08-11,15.94,48.25035441045768,2.10~50%
A,8996,2025-08-25,-2.86,71.0827720565782,3.50~100%
A,2421,2025-08-11,-2.83,39.109738189744114,2.10~50%
A,2308,2025-08-25,0.73,87.98509184414286,3.50~100%
A,6515,2025-09-01,14.87,51.000000922297374,3.50~100%
A,6442,2025-09-01,2.1,118.86045724575247,4.>100%
A,3163,2025-09-08,-5.87,55.18293267097425,3.50~100%
A,3005,2025-09-08,-2.13,47.27273673189163,2.10~50%
A,2308,2025-09-08,14.6,86.35936425659693,3.50~100%
A,8299,2025-09-15,0.15,43.412530013886375,2.10~50%
A,3324,2025-09-15,3.12,33.49436372562536,2.10~50%
A,3037,2025-09-15,4.3,46.232573566198035,2.10~50%
A,8996,2025-10-20,-2.29,106.64064824192334,4.>100%
A,3189,2025-10-20,-4.55,51.15114884245896,3.50~100%
A,3711,2025-10-27,21.49,41.608393259236934,2.10~50%
A,6770,2025-10-20,-1.25,106.12244646399942,4.>100%
A,8046,2025-10-27,-2.92,67.77109119801578,3.50~100%
A,2368,2025-11-03,14.32,36.75450359483926,2.10~50%
A,1519,2025-11-03,-12.99,49.42966907774796,2.10~50%
A,6442,2025-11-17,19.46,44.754321305713304,2.10~50%
A,3131,2025-12-01,-2.31,10.227274421149673,2.10~50%
A,3653,2025-12-01,-1.13,44.32989034136951,2.10~50%
A,3653,2025-12-08,-3.56,55.670102342400995,3.50~100%
A,2454,2025-12-01,-3.35,27.876103969437477,2.10~50%
A,3037,2025-12-08,-4.43,63.33333173249216,3.50~100%
A,4991,2025-12-22,4.81,64.59143968871595,3.50~100%
A,6770,2025-12-22,17.34,82.20720438202164,3.50~100%
A,2337,2026-01-05,20.16,89.84064064420053,3.50~100%
A,3324,2025-12-22,-5.21,22.194819583201415,2.10~50%
A,2337,2026-01-12,19.7,134.03442315759057,4.>100%
A,6770,2026-01-19,-4.61,126.69103888571229,4.>100%
A,2313,2026-01-26,-3.41,132.5886938370929,4.>100%
A,6510,2026-02-02,15.75,136.08247444660768,4.>100%
A,8046,2026-01-26,22.91,59.48276061621877,3.50~100%
A,2337,2026-02-09,15.86,178.8069136207028,4.>100%
A,3529,2026-02-23,15.36,46.30873136257544,2.10~50%
A,3533,2026-02-09,4.96,41.22808074583876,2.10~50%
A,3189,2026-02-23,5.19,131.74603174603175,4.>100%
A,3037,2026-03-02,-13.82,188.88888648873348,4.>100%
A,2313,2026-03-30,-2.68,187.43169578008317,4.>100%
A,3583,2026-04-13,14.41,131.68316478102616,4.>100%
A,4979,2026-04-20,-20.39,169.2015178257769,4.>100%
A,3105,2026-04-20,-8.15,193.06930404429502,4.>100%
A,4991,2026-04-20,-21.74,267.51269035532994,4.>100%
A,2454,2026-04-27,17.16,70.27972740666951,3.50~100%
A,2454,2026-05-04,18.8,100.69930151714732,4.>100%
A,8299,2026-05-11,-15.68,81.01694515107542,3.50~100%
A,2492,2026-05-25,20.58,184.5132715081498,4.>100%
A,6415,2026-05-25,-2.53,174.03165491362802,4.>100%
A,3189,2026-05-25,15.0,154.85714285714286,4.>100%
A,3231,2026-06-01,-2.31,42.04081300606191,2.10~50%
A,2357,2026-06-01,0.95,67.39998946283902,3.50~100%
A,2492,2026-06-01,18.04,268.1416019703809,4.>100%
A,6196,2026-06-15,-5.19,113.40782261953106,4.>100%
A,5483,2026-06-15,-3.73,65.40283822302378,3.50~100%
A,6488,2026-06-22,-7.28,173.95575342379732,4.>100%
A,6213,2026-06-29,14.81,121.93549276270468,4.>100%
A,6414,2026-07-20,20.26,36.86705482777473,2.10~50%
A,3231,2026-07-27,3.05,39.008157871936135,2.10~50%
A,2454,2021-02-01,5.99,20.345749128518754,2.10~50%
A,6415,2021-02-01,2.9,23.695652645591586,2.10~50%
A,2492,2021-02-22,-9.51,29.466350661374598,2.10~50%
A,2368,2021-03-08,-6.21,16.53387638858397,2.10~50%
A,2357,2021-03-22,-1.54,47.399987193980294,2.10~50%
A,2324,2021-03-08,15.82,8.737855830116827,1.0~10%
A,2356,2021-03-08,3.46,13.465784089351002,2.10~50%
A,6531,2021-03-29,-1.6,108.68545805849526,4.>100%
