exp_id,strategy,ticker,buy_date,pnl_pct,bias_pct,runup60_pct,limitup_streak
2218,A,3706,2025-08-25,-3.23,16.66,69.59,0
2218,A,3711,2022-05-30,-1.56,6.35,12.2,0
2218,A,3711,2022-11-21,2.36,10.35,30.11,0
2218,A,3711,2023-08-28,-5.19,7.28,14.47,0
2218,A,3711,2024-04-15,-3.08,2.17,28.0,0
2218,A,4966,2021-08-02,-5.12,10.03,35.91,0
2218,A,4966,2021-08-16,14.8,-2.73,19.2,0
2218,A,4966,2023-09-25,-4.57,5.34,31.24,0
2218,A,4966,2023-12-11,2.47,6.92,16.77,0
2218,A,5269,2021-02-01,-1.85,8.63,21.85,0
2218,A,5269,2021-05-17,23.41,6.89,18.71,0
2218,A,5269,2021-05-31,-8.17,24.85,51.91,0
2218,A,5269,2022-02-14,-3.09,11.73,17.7,0
2218,A,5269,2023-01-16,17.93,9.85,48.08,0
2218,A,5269,2024-01-08,2.2,4.29,47.92,0
2218,A,5269,2024-03-18,-4.92,1.95,41.1,0
2218,A,6139,2023-10-30,-3.59,13.72,90.72,0
2218,A,6139,2024-01-08,-6.57,4.16,54.17,0
2218,A,6139,2025-01-20,14.46,6.97,19.01,0
2218,A,6139,2025-09-08,-2.23,9.05,45.61,0
2218,A,6139,2025-12-15,-2.45,25.61,69.05,0
2218,A,6187,2023-07-31,-15.3,19.69,139.91,0
2218,A,6187,2024-08-12,19.25,10.81,33.57,0
2218,A,6187,2024-09-16,-0.18,25.84,100.0,0
2218,A,6187,2025-09-08,-7.72,7.42,18.47,0
2218,A,6213,2024-04-01,15.19,23.01,33.42,0
2218,A,6213,2025-08-18,-5.22,30.01,62.19,2
2218,A,6230,2022-07-04,6.8,-1.42,13.64,0
2218,A,6230,2024-04-22,15.0,21.0,92.74,0
2218,A,6274,2021-02-22,-8.75,10.65,17.97,0
2218,A,6274,2023-07-17,14.41,33.15,76.37,1
2218,A,6274,2023-09-25,0.49,7.7,83.89,0
2218,A,6274,2025-03-24,-2.01,5.66,16.89,0
2218,A,6274,2025-06-09,14.97,21.83,86.02,1
2218,A,6274,2025-09-01,-6.57,11.03,64.34,0
2218,A,6274,2026-01-26,-2.35,6.31,35.63,0
2218,A,6274,2026-05-25,-6.81,25.09,256.42,3
2218,A,6274,2026-06-15,16.18,2.38,194.16,1
2218,A,6274,2026-06-22,-7.66,17.01,236.59,0
2218,A,6414,2021-11-29,-2.43,7.35,33.52,0
2218,A,6414,2022-04-18,-3.51,1.54,8.2,0
2218,A,6414,2023-11-20,-4.53,8.64,12.1,0
2218,A,6414,2026-07-20,20.26,5.62,34.89,0
2218,A,6442,2022-07-04,0.5,0.41,14.65,0
2218,A,6442,2024-10-14,-2.85,23.44,38.86,1
2218,A,6442,2024-11-04,-4.52,14.05,55.46,0
2218,A,6442,2025-11-17,19.46,18.42,42.48,1
2218,A,6515,2022-01-03,-11.15,7.51,72.78,0
2218,A,6515,2022-05-16,-5.83,5.08,13.65,0
2218,A,6515,2024-04-15,-7.9,15.06,27.16,0
2218,A,6515,2024-09-09,16.04,10.31,49.21,0
2218,A,6515,2025-09-01,14.87,26.76,51.0,2
2218,A,6531,2021-03-29,-2.5,18.74,105.79,0
2218,A,6531,2021-08-02,-3.41,10.24,50.19,0
2218,A,6531,2023-02-20,15.2,20.68,69.7,0
2218,A,6531,2023-03-20,-3.05,12.72,96.67,0
2218,A,6531,2023-09-18,1.41,10.03,27.66,0
2218,A,6643,2022-11-07,20.97,17.57,29.67,1
2218,A,6643,2023-12-11,-13.27,14.44,43.4,1
2218,A,6643,2024-01-15,20.62,17.29,45.07,0
2218,A,6669,2021-11-15,1.35,9.61,24.33,0
2218,A,6669,2022-03-14,-8.8,5.09,14.83,0
2218,A,6669,2023-07-03,15.36,24.73,55.4,0
2218,A,6669,2023-11-13,-6.23,18.36,42.12,0
2218,A,6669,2025-08-11,-6.55,20.5,44.69,1
2218,A,6830,2023-04-24,-2.54,7.51,51.98,0
2218,A,6830,2025-01-13,-2.77,1.26,4.9,0
2218,A,8046,2021-05-17,15.86,-0.86,13.96,0
2218,A,8046,2021-06-07,-2.43,12.77,31.1,0
2218,A,8046,2021-07-12,-10.47,10.08,59.4,0
2218,A,8046,2021-09-06,-7.83,14.61,34.31,0
2218,A,8046,2023-08-28,14.32,-1.21,3.73,0
2218,A,8046,2024-09-30,-5.83,6.17,16.8,0
2218,A,8046,2025-01-06,-8.46,18.12,32.38,0
2218,A,8046,2025-07-07,14.91,12.15,50.66,0
2218,A,8046,2025-10-13,2.37,19.53,64.11,0
2218,A,8046,2025-10-27,-2.92,8.57,66.77,0
2218,A,8046,2026-01-19,15.81,26.52,35.61,2
2218,A,8046,2026-03-02,-22.28,27.65,130.7,0
2218,A,8046,2026-03-30,14.65,13.29,144.73,0
2218,A,8046,2026-04-27,-1.14,32.57,167.35,0
2218,A,8046,2026-06-29,16.89,19.47,90.54,0
2218,A,8210,2022-02-07,-3.27,12.75,23.37,0
2218,A,8210,2025-05-26,18.19,13.6,71.12,0
2218,A,8210,2025-11-10,-1.09,21.77,78.38,0
2218,A,8299,2021-12-13,-4.16,11.18,39.37,0
2218,A,8299,2022-12-12,-1.8,-2.41,27.09,0
2218,A,8299,2023-09-11,2.78,10.14,23.32,0
2218,A,8299,2023-12-11,-0.41,7.28,16.37,0
2218,A,8299,2025-03-10,-4.77,10.28,37.16,0
2218,A,8299,2025-11-03,17.31,22.31,136.17,0
2218,A,8299,2026-01-26,2.76,19.63,105.57,0
2218,A,8996,2022-03-07,15.29,7.9,13.17,0
2218,A,8996,2023-07-24,-11.35,18.28,114.54,0
2218,A,8996,2024-04-29,20.59,11.21,80.42,0
2218,A,8996,2024-09-09,-2.72,10.78,41.49,1
2218,A,8996,2025-05-19,-6.23,12.89,44.44,0
2218,A,8996,2025-12-29,20.46,10.09,60.22,0
2218,A,8996,2026-02-09,-1.05,16.54,91.13,1
2218,A,8996,2026-04-13,-2.87,20.89,93.83,0
2218,A,8996,2026-06-08,24.46,10.38,57.59,0
2516,A,1503,2023-05-08,-6.35,21.27,86.44,0
2516,A,1503,2023-05-22,10.29,20.43,71.68,0
2516,A,1513,2022-07-11,-1.32,5.34,18.66,0
2516,A,1513,2022-08-01,-2.95,11.46,34.37,0
2516,A,1513,2022-08-15,-4.75,13.36,45.38,0
2516,A,1513,2022-08-22,-2.42,9.05,46.95,0
2516,A,1513,2023-11-27,4.0,16.02,27.68,0
2516,A,1513,2024-07-15,-6.93,19.28,48.21,0
2516,A,1513,2025-05-19,-0.27,12.89,42.25,0
