ticker,buy_date,pnl_pct,is_grid_trial,streak_day,buy_year,bucket
3653,2021-07-12,0.76,0,1,2021,1.第1天
3189,2021-08-23,10.45,0,0,2021,0.非同買日
3443,2021-08-23,3.52,0,0,2021,0.非同買日
2317,2021-08-30,1.23,0,2,2021,2.第2天
3529,2021-08-30,3.76,0,0,2021,0.非同買日
3044,2021-09-27,-5.7,0,0,2021,0.非同買日
2308,2021-10-18,-2.79,0,0,2021,0.非同買日
6531,2021-10-25,16.56,0,0,2021,0.非同買日
6515,2021-10-25,-1.05,0,1,2021,1.第1天
2455,2021-11-01,-8.85,0,0,2021,0.非同買日
2376,2021-11-01,11.05,0,0,2021,0.非同買日
2454,2021-11-08,-3.24,0,1,2021,1.第1天
3711,2021-11-08,-0.6,0,1,2021,1.第1天
3653,2021-11-15,-2.78,0,1,2021,1.第1天
3044,2021-11-15,3.19,0,0,2021,0.非同買日
2383,2021-11-22,19.45,0,1,2021,1.第1天
3105,2021-11-29,-3.19,0,1,2021,1.第1天
2308,2021-12-13,-2.81,0,0,2021,0.非同買日
3035,2021-12-13,11.19,0,1,2021,1.第1天
2454,2021-12-27,-0.16,0,0,2021,0.非同買日
3529,2021-12-27,0.1,0,0,2021,0.非同買日
3324,2022-01-17,-7.25,0,1,2022,1.第1天
3081,2022-01-17,-2.28,0,0,2022,0.非同買日
3587,2022-02-21,-2.93,0,1,2022,1.第1天
8046,2022-02-21,0.52,0,0,2022,0.非同買日
2455,2022-03-21,-1.86,0,0,2022,0.非同買日
2308,2022-03-21,0.93,0,1,2022,1.第1天
3529,2022-05-16,8.85,0,0,2022,0.非同買日
4966,2022-05-16,2.51,0,0,2022,0.非同買日
2303,2022-05-30,1.35,0,2,2022,2.第2天
2360,2022-05-30,2.42,0,1,2022,1.第1天
2313,2022-06-06,-1.11,0,0,2022,0.非同買日
5269,2022-06-06,-2.76,0,0,2022,0.非同買日
6282,2022-06-27,-3.93,0,0,2022,0.非同買日
3443,2022-07-18,1.06,0,0,2022,0.非同買日
3653,2022-07-18,8.39,0,0,2022,0.非同買日
3443,2022-07-25,-8.56,0,1,2022,1.第1天
3653,2022-07-25,-3.04,0,1,2022,1.第1天
2449,2022-08-01,-1.74,0,0,2022,0.非同買日
2308,2022-08-01,1.71,0,0,2022,0.非同買日
3034,2022-08-08,-4.86,0,1,2022,1.第1天
2357,2022-08-08,-8.14,0,1,2022,1.第1天
8046,2022-08-15,3.63,0,0,2022,0.非同買日
3035,2022-08-15,5.54,0,0,2022,0.非同買日
2360,2022-09-12,0.69,0,0,2022,0.非同買日
3533,2022-09-12,1.95,0,0,2022,0.非同買日
2353,2022-10-17,-1.95,0,0,2022,0.非同買日
2317,2022-10-17,-2.49,0,0,2022,0.非同買日
3034,2022-10-24,-2.62,0,0,2022,0.非同買日
2449,2022-10-31,1.83,0,1,2022,1.第1天
3711,2022-10-31,4.47,0,0,2022,0.非同買日
2356,2022-11-07,7.34,0,1,2022,1.第1天
8046,2022-11-14,-1.35,0,0,2022,0.非同買日
2368,2022-11-21,3.44,0,1,2022,1.第1天
2376,2022-11-21,-0.14,0,0,2022,0.非同買日
2308,2022-11-21,-0.77,0,0,2022,0.非同買日
2421,2022-12-05,-9.38,0,1,2022,1.第1天
3105,2022-12-05,-8.22,0,0,2022,0.非同買日
2330,2023-01-09,4.36,0,2,2023,2.第2天
3529,2023-01-16,6.31,0,0,2023,0.非同買日
6830,2023-01-16,15.1,0,1,2023,1.第1天
