期間,進場方式,股票代號,名稱,買進日,賣出日,買進價,賣出價,損益%,損益金額,持有天數,出場原因
全期間2021-2026,一次買完,4966,譜瑞-KY,2021-08-16,2021-09-01,1451.65,1676.5,14.8,12905.95,16,15%停利
全期間2021-2026,一次買完,3443,創意,2021-08-16,2021-09-01,365.55,424.02,15.3,17695.53,16,15%停利
全期間2021-2026,一次買完,2356,英業達,2021-08-16,2021-10-18,19.63,21.87,10.7,36006.27,63,積分轉負
全期間2021-2026,一次買完,3661,世芯-KY,2021-08-23,2021-09-06,615.27,718.45,16.07,1147.26,14,15%停利
全期間2021-2026,一次買完,6488,未知,2021-08-30,2021-09-08,762.59,755.6,-1.51,-3902.88,9,積分轉負
全期間2021-2026,一次買完,3189,景碩,2021-08-30,2021-09-09,183.67,182.77,-1.08,-2301.33,10,積分轉負
全期間2021-2026,一次買完,8046,南電,2021-09-06,2021-09-09,394.6,365.89,-7.83,-10435.25,3,積分轉負
全期間2021-2026,一次買完,3017,奇鋐,2021-09-06,2021-09-30,70.36,72.94,3.04,3303.6,24,積分轉負
全期間2021-2026,一次買完,3044,健鼎,2021-09-13,2021-09-15,92.09,91.3,-1.45,-365.11,2,積分轉負
全期間2021-2026,一次買完,5434,未知,2021-09-13,2021-09-28,114.06,112.86,-1.65,-2115.38,15,積分轉負
全期間2021-2026,一次買完,3443,創意,2021-09-13,2021-10-08,439.23,505.78,14.46,11592.48,25,15%停利
全期間2021-2026,一次買完,6214,未知,2021-09-13,2021-10-13,68.3,66.97,-2.53,-8971.33,30,積分轉負
全期間2021-2026,一次買完,3653,健策,2021-09-27,2021-10-20,274.53,321.42,16.38,4060.72,23,15%停利
全期間2021-2026,一次買完,6282,康舒,2021-10-04,2021-10-06,25.66,24.5,-5.09,-5426.3,2,積分轉負
全期間2021-2026,一次買完,2382,廣達,2021-10-04,2021-10-21,58.93,59.39,0.17,227.65,17,積分轉負
全期間2021-2026,一次買完,3035,智原,2021-10-18,2021-10-22,128.95,152.27,17.38,20138.52,4,15%停利
全期間2021-2026,一次買完,5269,祥碩,2021-10-18,2021-10-26,1388.67,1496.53,7.12,7933.53,8,積分轉負
全期間2021-2026,一次買完,2353,宏碁,2021-10-18,2021-10-28,19.58,20.35,3.33,13260.38,10,積分轉負
全期間2021-2026,一次買完,3661,世芯-KY,2021-10-18,2021-11-01,898.03,1088.82,20.52,21448.08,14,15%停利
全期間2021-2026,一次買完,6510,未知,2021-10-18,2021-11-02,650.34,660.57,0.97,665.84,15,觸發停損
全期間2021-2026,一次買完,3529,力旺,2021-10-18,2021-11-11,2080.51,2267.04,8.31,9250.83,24,積分轉負
全期間2021-2026,一次買完,3037,欣興,2021-10-25,2021-10-28,136.03,161.34,17.9,13195.64,3,15%停利
全期間2021-2026,一次買完,3189,景碩,2021-10-25,2021-11-01,219.51,214.58,-2.83,-6301.14,7,積分轉負
全期間2021-2026,一次買完,3533,嘉澤,2021-11-01,2021-11-04,527.02,505.9,-4.58,-7642.81,3,積分轉負
全期間2021-2026,一次買完,3443,創意,2021-11-01,2021-11-09,578.99,561.87,-3.54,-3520.87,8,積分轉負
全期間2021-2026,一次買完,3653,健策,2021-11-01,2021-11-11,330.79,326.96,-1.75,-1819.02,10,積分轉負
全期間2021-2026,一次買完,2313,華通,2021-11-01,2021-11-12,35.86,34.89,-3.29,-5658.78,11,積分轉負
全期間2021-2026,一次買完,6412,未知,2021-11-01,2021-11-26,54.59,56.72,3.29,7675.0,25,觸發停損
全期間2021-2026,一次買完,6257,未知,2021-11-01,2021-11-26,45.81,45.35,-1.6,-2957.36,25,積分轉負
全期間2021-2026,一次買完,2376,技嘉,2021-11-08,2021-11-23,103.22,103.99,0.15,334.9,15,積分轉負
全期間2021-2026,一次買完,2436,未知,2021-11-15,2021-11-19,92.57,91.29,-1.98,-2628.2,4,積分轉負
全期間2021-2026,一次買完,6669,緯穎,2021-11-15,2021-11-24,836.35,852.71,1.35,1951.54,9,積分轉負
全期間2021-2026,一次買完,2454,聯發科,2021-11-15,2021-11-24,751.75,762.75,0.86,1773.16,9,積分轉負
全期間2021-2026,一次買完,5269,祥碩,2021-11-22,2021-11-26,1779.65,1662.81,-7.12,-9257.1,4,積分轉負
全期間2021-2026,一次買完,3533,嘉澤,2021-11-29,2021-12-02,612.36,591.24,-4.03,-3416.57,3,積分轉負
全期間2021-2026,一次買完,2356,英業達,2021-11-29,2021-12-03,21.54,21.2,-2.12,-5373.4,4,積分轉負
全期間2021-2026,一次買完,6414,樺漢,2021-11-29,2021-12-06,192.49,188.94,-2.43,-2345.79,7,積分轉負
全期間2021-2026,一次買完,8046,南電,2021-11-29,2021-12-07,508.15,509.89,-0.26,-268.73,8,積分轉負
全期間2021-2026,一次買完,3532,未知,2021-11-29,2021-12-08,215.16,264.95,22.4,14744.78,9,15%停利
全期間2021-2026,一次買完,3653,健策,2021-11-29,2021-12-09,361.49,365.75,0.57,533.41,10,積分轉負
全期間2021-2026,一次買完,6182,未知,2021-11-29,2021-12-10,77.04,77.04,-0.6,-540.59,11,積分轉負
全期間2021-2026,一次買完,2353,宏碁,2021-11-29,2021-12-13,21.51,22.59,4.41,9360.0,14,積分轉負
全期間2021-2026,一次買完,2449,京元電子,2021-12-06,2021-12-13,34.97,34.55,-1.81,-4685.83,7,積分轉負
全期間2021-2026,一次買完,3034,聯詠,2021-12-06,2021-12-27,328.67,345.59,4.52,8711.19,21,積分轉負
全期間2021-2026,一次買完,2412,未知,2021-12-06,2022-01-04,94.28,95.52,0.71,711.5,29,積分轉負
全期間2021-2026,一次買完,8299,群聯,2021-12-13,2021-12-15,401.88,387.48,-4.16,-6979.28,2,積分轉負
全期間2021-2026,一次買完,8114,未知,2021-12-13,2021-12-16,98.49,104.62,5.59,9647.69,3,觸發停損
全期間2021-2026,一次買完,3105,穩懋,2021-12-13,2021-12-20,352.46,338.18,-4.63,-9590.2,7,積分轉負
全期間2021-2026,一次買完,2376,技嘉,2021-12-13,2021-12-20,123.71,118.68,-4.64,-7410.57,7,積分轉負
全期間2021-2026,一次買完,5483,未知,2021-12-13,2021-12-21,176.64,172.68,-2.83,-3831.54,8,積分轉負
全期間2021-2026,一次買完,6196,未知,2021-12-20,2022-01-05,135.01,147.32,8.47,23763.93,16,積分轉負
全期間2021-2026,一次買完,5434,未知,2021-12-20,2022-01-11,121.29,132.94,8.95,36911.96,22,觸發停損
全期間2021-2026,一次買完,2357,華碩,2021-12-27,2022-01-12,265.84,269.77,0.87,2896.8,16,積分轉負
全期間2021-2026,一次買完,6196,未知,2022-01-10,2022-01-14,155.82,145.2,-7.37,-3731.02,4,積分轉負
全期間2021-2026,一次買完,3413,未知,2022-01-10,2022-01-14,194.38,191.61,-2.02,-1255.9,4,積分轉負
全期間2021-2026,一次買完,2324,仁寶,2022-01-10,2022-01-26,19.62,19.89,0.8,2344.98,16,積分轉負
全期間2021-2026,一次買完,3711,日月光投控,2022-01-17,2022-01-20,85.64,83.65,-2.9,-3187.4,3,積分轉負
全期間2021-2026,一次買完,2330,台積電,2022-01-17,2022-01-21,629.47,590.77,-6.71,-8857.66,4,觸發停損
全期間2021-2026,一次買完,2353,宏碁,2022-01-17,2022-01-21,23.56,22.83,-3.7,-1381.23,4,積分轉負
全期間2021-2026,一次買完,3017,奇鋐,2022-01-17,2022-01-25,82.14,85.0,2.86,2623.22,8,積分轉負
全期間2021-2026,一次買完,3231,緯創,2022-01-17,2022-02-11,24.53,25.23,2.2,5786.97,25,積分轉負
全期間2021-2026,一次買完,3044,健鼎,2022-01-17,2022-02-11,99.6,100.39,0.19,369.53,25,積分轉負
全期間2021-2026,一次買完,5388,未知,2022-01-17,2022-02-14,61.29,62.13,0.75,498.34,28,積分轉負
全期間2021-2026,一次買完,2360,致茂,2022-01-24,2022-01-26,190.74,185.92,-3.11,-4314.56,2,積分轉負
全期間2021-2026,一次買完,2356,英業達,2022-01-24,2022-02-15,21.04,20.83,-1.57,-2002.83,22,積分轉負
